dataset,window,dom_class,method,k_hat
Salinas,Salinas:33,15,ess_dip,1
Salinas,Salinas:33,15,ess_dip_detrend,1
Salinas,Salinas:33,15,ess_dip_adaptive,1
Salinas,Salinas:33,15,ess_dip_local,1
Salinas,Salinas:40,15,classical_gap,1
Salinas,Salinas:40,15,silhouette,2
Salinas,Salinas:40,15,calinski_harabasz,2
Salinas,Salinas:40,15,davies_bouldin,4
Salinas,Salinas:40,15,decluster_dip,1
Salinas,Salinas:40,15,ess_dip,1
Salinas,Salinas:40,15,ess_dip_detrend,1
Salinas,Salinas:40,15,ess_dip_adaptive,1
Salinas,Salinas:40,15,ess_dip_local,1
Salinas,Salinas:41,15,classical_gap,1
Salinas,Salinas:41,15,silhouette,2
Salinas,Salinas:41,15,calinski_harabasz,2
Salinas,Salinas:41,15,davies_bouldin,2
Salinas,Salinas:41,15,decluster_dip,1
Salinas,Salinas:41,15,ess_dip,1
Salinas,Salinas:41,15,ess_dip_detrend,1
Salinas,Salinas:41,15,ess_dip_adaptive,1
Salinas,Salinas:41,15,ess_dip_local,1
Salinas,Salinas:34,15,classical_gap,1
Salinas,Salinas:34,15,silhouette,2
Salinas,Salinas:34,15,calinski_harabasz,2
Salinas,Salinas:34,15,davies_bouldin,3
Salinas,Salinas:34,15,decluster_dip,1
Salinas,Salinas:34,15,ess_dip,1
Salinas,Salinas:34,15,ess_dip_detrend,1
Salinas,Salinas:34,15,ess_dip_adaptive,1
Salinas,Salinas:34,15,ess_dip_local,1
Salinas,Salinas:37,15,classical_gap,1
Salinas,Salinas:37,15,silhouette,2
Salinas,Salinas:37,15,calinski_harabasz,2
Salinas,Salinas:37,15,davies_bouldin,2
Salinas,Salinas:37,15,decluster_dip,1
Salinas,Salinas:37,15,ess_dip,1
Salinas,Salinas:37,15,ess_dip_detrend,1
Salinas,Salinas:37,15,ess_dip_adaptive,1
Salinas,Salinas:37,15,ess_dip_local,1
Salinas,Salinas:43,15,classical_gap,1
Salinas,Salinas:43,15,silhouette,2
Salinas,Salinas:43,15,calinski_harabasz,2
Salinas,Salinas:43,15,davies_bouldin,7
Salinas,Salinas:43,15,decluster_dip,1
Salinas,Salinas:43,15,ess_dip,1
Salinas,Salinas:43,15,ess_dip_detrend,1
Salinas,Salinas:43,15,ess_dip_adaptive,1
Salinas,Salinas:43,15,ess_dip_local,1
Salinas,Salinas:39,15,classical_gap,1
Salinas,Salinas:39,15,silhouette,2
Salinas,Salinas:39,15,calinski_harabasz,2
Salinas,Salinas:39,15,davies_bouldin,4
Salinas,Salinas:39,15,decluster_dip,1
Salinas,Salinas:39,15,ess_dip,1
Salinas,Salinas:39,15,ess_dip_detrend,1
Salinas,Salinas:39,15,ess_dip_adaptive,1
Salinas,Salinas:39,15,ess_dip_local,1
Salinas,Salinas:45,15,classical_gap,1
Salinas,Salinas:45,15,silhouette,2
Salinas,Salinas:45,15,calinski_harabasz,3
Salinas,Salinas:45,15,davies_bouldin,3
Salinas,Salinas:45,15,decluster_dip,1
Salinas,Salinas:45,15,ess_dip,1
Salinas,Salinas:45,15,ess_dip_detrend,1
Salinas,Salinas:45,15,ess_dip_adaptive,1
Salinas,Salinas:45,15,ess_dip_local,1
Salinas,Salinas:42,15,classical_gap,1
Salinas,Salinas:42,15,silhouette,3
Salinas,Salinas:42,15,calinski_harabasz,3
Salinas,Salinas:42,15,davies_bouldin,3
Salinas,Salinas:42,15,decluster_dip,1
Salinas,Salinas:42,15,ess_dip,1
Salinas,Salinas:42,15,ess_dip_detrend,1
Salinas,Salinas:42,15,ess_dip_adaptive,1
Salinas,Salinas:42,15,ess_dip_local,1
Salinas,Salinas:47,15,classical_gap,1
Salinas,Salinas:47,15,silhouette,2
Salinas,Salinas:47,15,calinski_harabasz,2
Salinas,Salinas:47,15,davies_bouldin,4
Salinas,Salinas:47,15,decluster_dip,1
Salinas,Salinas:47,15,ess_dip,1
Salinas,Salinas:47,15,ess_dip_detrend,1
Salinas,Salinas:47,15,ess_dip_adaptive,1
Salinas,Salinas:47,15,ess_dip_local,1
Salinas,Salinas:44,6,classical_gap,1
Salinas,Salinas:44,6,silhouette,2
Salinas,Salinas:44,6,calinski_harabasz,2
Salinas,Salinas:44,6,davies_bouldin,2
Salinas,Salinas:44,6,decluster_dip,1
