kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
null,,,9.0,,,2,8,1,calinski_harabasz,3
null,,,9.0,,,2,8,1,davies_bouldin,7
null,,,9.0,,,2,8,1,decluster_dip,1
null,,,9.0,,,2,8,1,ess_dip,1
null,,,9.0,,,2,8,1,ess_dip_detrend,1
null,,,9.0,,,2,8,1,ess_dip_adaptive,1
null,,,9.0,,,2,8,1,ess_dip_local,1
null,,,9.0,,,2,12,1,classical_gap,6
null,,,9.0,,,2,12,1,silhouette,8
null,,,9.0,,,2,12,1,calinski_harabasz,4
null,,,9.0,,,2,12,1,davies_bouldin,5
null,,,9.0,,,2,12,1,decluster_dip,1
null,,,9.0,,,2,12,1,ess_dip,1
null,,,9.0,,,2,12,1,ess_dip_detrend,1
null,,,9.0,,,2,12,1,ess_dip_adaptive,1
null,,,9.0,,,2,12,1,ess_dip_local,1
trend,,,,1.5,,3,7,1,classical_gap,8
trend,,,,1.5,,3,7,1,silhouette,4
trend,,,,1.5,,3,7,1,calinski_harabasz,5
trend,,,,1.5,,3,7,1,davies_bouldin,4
trend,,,,1.5,,3,7,1,decluster_dip,1
trend,,,,1.5,,3,7,1,ess_dip,1
trend,,,,1.5,,3,7,1,ess_dip_detrend,1
trend,,,,1.5,,3,7,1,ess_dip_adaptive,1
trend,,,,1.5,,3,7,1,ess_dip_local,1
trend,,,,1.5,,3,0,1,classical_gap,8
trend,,,,1.5,,3,0,1,silhouette,3
trend,,,,1.5,,3,0,1,calinski_harabasz,3
trend,,,,1.5,,3,0,1,davies_bouldin,3
trend,,,,1.5,,3,0,1,decluster_dip,1
trend,,,,1.5,,3,0,1,ess_dip,1
trend,,,,1.5,,3,0,1,ess_dip_detrend,1
trend,,,,1.5,,3,0,1,ess_dip_adaptive,1
trend,,,,1.5,,3,0,1,ess_dip_local,1
trend,,,,1.5,,3,3,1,classical_gap,8
trend,,,,1.5,,3,3,1,silhouette,2
trend,,,,1.5,,3,3,1,calinski_harabasz,2
trend,,,,1.5,,3,3,1,davies_bouldin,2
trend,,,,1.5,,3,3,1,decluster_dip,1
trend,,,,1.5,,3,3,1,ess_dip,1
trend,,,,1.5,,3,3,1,ess_dip_detrend,1
trend,,,,1.5,,3,3,1,ess_dip_adaptive,1
trend,,,,1.5,,3,3,1,ess_dip_local,1
null,,,9.0,,,2,14,1,classical_gap,7
null,,,9.0,,,2,14,1,silhouette,2
null,,,9.0,,,2,14,1,calinski_harabasz,3
null,,,9.0,,,2,14,1,davies_bouldin,7
null,,,9.0,,,2,14,1,decluster_dip,1
null,,,9.0,,,2,14,1,ess_dip,1
null,,,9.0,,,2,14,1,ess_dip_detrend,1
null,,,9.0,,,2,14,1,ess_dip_adaptive,1
null,,,9.0,,,2,14,1,ess_dip_local,1
trend,,,,1.5,,3,6,1,classical_gap,8
trend,,,,1.5,,3,6,1,silhouette,4
trend,,,,1.5,,3,6,1,calinski_harabasz,4
trend,,,,1.5,,3,6,1,davies_bouldin,4
trend,,,,1.5,,3,6,1,decluster_dip,1
trend,,,,1.5,,3,6,1,ess_dip,1
trend,,,,1.5,,3,6,1,ess_dip_detrend,1
trend,,,,1.5,,3,6,1,ess_dip_adaptive,1
trend,,,,1.5,,3,6,1,ess_dip_local,1
trend,,,,1.5,,3,1,1,classical_gap,8
trend,,,,1.5,,3,1,1,silhouette,2
trend,,,,1.5,,3,1,1,calinski_harabasz,3
trend,,,,1.5,,3,1,1,davies_bouldin,3
trend,,,,1.5,,3,1,1,decluster_dip,1
trend,,,,1.5,,3,1,1,ess_dip,1
trend,,,,1.5,,3,1,1,ess_dip_detrend,1
trend,,,,1.5,,3,1,1,ess_dip_adaptive,1
trend,,,,1.5,,3,1,1,ess_dip_local,1
trend,,,,1.5,,3,9,1,classical_gap,8
trend,,,,1.5,,3,9,1,silhouette,2
trend,,,,1.5,,3,9,1,calinski_harabasz,2
trend,,,,1.5,,3,9,1,davies_bouldin,2
